Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
01-01-2012,81,69.7,61,66,61.8,55,100,79.4,42,15,7.6,1,26.9,26.9,26.8
02-01-2012,82,70.5,63,66,61.4,54,100,76.9,39,12,5.8,1,27,26.9,26.8
03-01-2012,84,73.3,66,68,61.3,52,100,70.5,33,10,6.3,2,27,26.9,26.8
04-01-2012,84,72.7,64,68,62.2,55,100,74.2,37,12,5.6,1,27,26.9,26.8
05-01-2012,84,70.6,61,66,59.2,50,100,72.7,30,10,5.5,0,27,26.9,26.9
06-01-2012,84,68.9,59,63,54.8,37,100,69.8,19,9,4.6,0,27,27,26.9
07-01-2012,86,68.4,54,64,52.7,34,100,67.3,16,10,5,0,27,27,26.9
08-01-2012,86,69,54,63,55.7,39,100,71,19,10,4,0,27,26.9,26.9
09-01-2012,86,72,63,66,56.5,41,100,66.3,20,8,4.3,0,27,26.9,26.9
10-01-2012,82,71.6,64,66,61,52,100,72.9,35,10,5.7,0,27,26.9,26.8
11-01-2012,84,71.2,63,66,57.9,45,100,70,26,10,5.6,1,27,26.9,26.8
12-01-2012,81,70.5,63,64,59.7,52,100,71.2,37,12,6.8,2,27,26.9,26.9
13-01-2012,79,68.5,61,63,58.2,52,100,72.7,39,13,6.1,2,27,26.9,26.9
14-01-2012,77,64,50,61,51.5,45,100,68.2,32,10,4.9,0,27,26.9,26.8
15-01-2012,77,60.8,48,55,43.3,0,100,62.9,21,10,3.8,0,26.9,26.9,26.8
16-01-2012,82,63.9,48,54,38.1,0,100,53.1,13,7,3.1,0,26.9,26.9,26.8
17-01-2012,82,65.9,46,54,40,0,93,51.6,16,9,3.2,0,26.9,26.8,26.8
18-01-2012,84,66.9,48,52,37.2,0,93,44.9,12,8,2.8,0,26.9,26.8,26.8
19-01-2012,84,67.8,52,57,43.9,37,88,47.8,20,8,3.4,0,26.9,26.8,26.8
20-01-2012,84,68.6,52,57,49.2,43,88,54.7,23,10,3.6,0,26.9,26.9,26.8
21-01-2012,82,67.6,54,57,48.6,41,100,58.2,23,10,4.8,0,26.9,26.9,26.8
22-01-2012,81,66.7,52,57,47.7,36,100,59.7,20,12,5.5,0,27,26.9,26.8
23-01-2012,79,64,52,57,51.3,43,100,70.1,28,13,5.4,1,27,26.9,26.9
24-01-2012,81,65.8,50,59,48.4,36,100,61.5,22,14,5.6,0,27,26.9,26.8
25-01-2012,79,64.1,48,55,49.5,45,100,63.9,30,16,6.4,0,27,26.9,26.8
26-01-2012,81,65.9,50,61,51.6,41,100,66.5,24,12,5.2,0,27,26.9,26.8
27-01-2012,81,69.6,61,63,54.4,46,94,63.4,32,12,6.5,0,27,26.9,26.8
28-01-2012,81,69.7,63,61,55.3,46,94,64.1,32,9,5.7,2,26.9,26.9,26.8
